ID_Transacao;Data;Cliente;Produto_Servico;Categoria;Quantidade;Valor_Unitario;Custo_Unitario;Qtd_Parcelas;Canal_Venda;Status
PRG-202501-001;18/01/2025;Varejo Total S.A.;Suporte Técnico Premium;Serviço;1;400,00;120,70;3;E-commerce;Pago
PRG-202501-002;03/01/2025;Nova Era Digital;Suporte Técnico Premium;Serviço;1;400,00;109,04;2;E-commerce;Pago
PRG-202501-003;02/01/2025;Meta Metais;PragmaCloud Pro;Software;5;450,00;150,31;2;Venda Direta;Pago
PRG-202501-004;08/01/2025;Nova Era Digital;Suporte Técnico Premium;Serviço;2;400,00;120,47;1;Parceiros B2B;Pago
PRG-202501-005;07/01/2025;Logística Express Brasil;PragmaCloud Pro;Software;2;450,00;153,17;1;Venda Direta;Pago
PRG-202501-006;12/01/2025;Varejo Total S.A.;PragmaSecurity Gateway;Software;4;890,00;263,26;6;Parceiros B2B;Pago
PRG-202501-007;24/01/2025;Construtora Horizonte;PragmaSecurity Gateway;Software;4;890,00;251,58;6;E-commerce;Pago
PRG-202501-008;25/01/2025;Meta Metais;Suporte Técnico Premium;Serviço;1;400,00;126,19;12;Venda Direta;Pago
PRG-202501-009;18/01/2025;Rede de Farmácias Viva;PragmaSecurity Gateway;Software;3;890,00;233,05;3;E-commerce;Pago
PRG-202501-010;03/01/2025;Rede de Farmácias Viva;PragmaAnalytics Enterprise;Software;3;1250,00;403,65;12;Parceiros B2B;Pendente
PRG-202501-011;01/01/2025;Construtora Horizonte;PragmaSecurity Gateway;Software;5;890,00;265,57;12;Parceiros B2B;Pago
PRG-202501-012;17/01/2025;Nova Era Digital;Consultoria de Processos TI;Serviço;1;3200,00;1345,95;1;Parceiros B2B;Pendente
PRG-202501-013;14/01/2025;Indústrias Alfa Ltda;PragmaAnalytics Enterprise;Software;2;1250,00;376,38;2;Parceiros B2B;Pago
PRG-202501-014;19/01/2025;Tech Soluções Globais;Consultoria de Processos TI;Serviço;1;3200,00;1286,46;6;Venda Direta;Pendente
PRG-202501-015;31/01/2025;Tech Soluções Globais;PragmaAnalytics Enterprise;Software;3;1250,00;380,75;2;Parceiros B2B;Pago
PRG-202501-016;24/01/2025;Construtora Horizonte;PragmaAnalytics Enterprise;Software;4;1250,00;435,74;2;Parceiros B2B;Pago
PRG-202501-017;26/01/2025;Tech Soluções Globais;PragmaCloud Pro;Software;5;450,00;139,60;6;E-commerce;Pago
PRG-202501-018;26/01/2025;Meta Metais;PragmaSecurity Gateway;Software;2;890,00;225,50;3;Parceiros B2B;Pago
PRG-202501-019;17/01/2025;Construtora Horizonte;Consultoria de Processos TI;Serviço;2;3200,00;1351,27;1;Venda Direta;Pago
PRG-202501-020;17/01/2025;Global Alimentos S.A.;PragmaSecurity Gateway;Software;4;890,00;256,01;6;E-commerce;Pago
PRG-202501-021;25/01/2025;Logística Express Brasil;PragmaSecurity Gateway;Software;2;890,00;237,87;1;E-commerce;Pago
PRG-202501-022;05/01/2025;Global Alimentos S.A.;PragmaAnalytics Enterprise;Software;5;1250,00;410,12;1;Venda Direta;Pago
